,master_id,order_channel,last_order_channel,first_order_date,last_order_date,last_order_date_online,last_order_date_offline,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,interested_in_categories_12_x,total_of_purchases,total_expenditure,Recency,Frequency,MonetaryValue,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments,interested_in_categories_12_y
0,cc294636-19f0-11eb-8d74-000d3a38a36f,Android App,Offline,2020-10-30,2021-02-26,2021-02-21,2021-02-26,4.0,1,139.99,799.38,[KADIN],5.0,939.37,924,1,939.37,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
1,f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,Android App,Mobile,2017-08-02,2021-02-16,2021-02-16,2020-10-01,8.5,2,159.97,1853.58,"[ERKEK, COCUK, KADIN, AKTIFSPOR]",10.5,2013.55,934,1,2013.55,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
2,69b69676-1a40-11ea-941b-000d3a38a36f,Android App,Android App,2019-11-27,2020-11-27,2020-11-27,2019-01-12,3.0,2,189.97,395.35,"[ERKEK, KADIN]",5.0,585.32,1015,1,585.32,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, KADIN]"
3,e585280e-aae1-11e9-a2fc-000d3a38a36f,Desktop,Offline,2018-11-18,2021-03-13,2018-11-18,2021-03-13,1.0,2,150.87,49.99,[KADIN],3.0,200.86,909,1,200.86,4,3,1,8,Mid-Value,Potential Loyalists,[KADIN]
4,cfbda69e-5b4f-11ea-aca7-000d3a38a36f,Android App,Android App,2020-01-23,2021-07-03,2021-07-03,2020-01-25,3.0,2,120.48,934.21,"[ERKEK, COCUK, KADIN]",5.0,1054.69,797,1,1054.69,4,3,1,8,Mid-Value,Potential Loyalists,"[ERKEK, COCUK, KADIN]"
5,ae608ece-c9d8-11ea-a31e-000d3a38a36f,Ios App,Offline,2020-07-19,2020-07-25,2020-07-19,2020-07-25,1.0,1,74.99,39.99,"[AKTIFCOCUK, COCUK, KADIN]",2.0,114.97999999999999,1140,1,114.97999999999999,2,3,1,6,Low-Value,Potential Loyalists,"[AKTIFCOCUK, COCUK, KADIN]"
6,c2e15af2-9eed-11e9-9897-000d3a38a36f,Android App,Android App,2015-05-07,2021-05-19,2021-05-19,2020-10-07,8.5,1,90.49,2771.11,"[COCUK, KADIN, AKTIFSPOR]",9.5,2861.6,842,1,2861.6,4,3,1,8,Mid-Value,Potential Loyalists,"[COCUK, KADIN, AKTIFSPOR]"
7,13ed97a4-b167-11e9-89fa-000d3a38a36f,Mobile,Desktop,2019-06-13,2020-08-17,2020-08-17,2020-07-28,7.0,1,112.97,819.39,"[AKTIFCOCUK, COCUK, KADIN]",8.0,932.36,1117,1,932.36,2,3,1,6,Low-Value,Potential Loyalists,"[AKTIFCOCUK, COCUK, KADIN]"
8,4da5c2ba-403b-11ea-aa6b-000d3a38a36f,Android App,Android App,2019-05-09,2021-01-24,2021-01-24,2019-05-09,1.0,1,49.98,59.99,[KADIN],2.0,109.97,957,1,109.97,3,3,1,7,Low-Value,Potential Loyalists,[KADIN]
9,7b289956-d691-11e9-93bc-000d3a38a36f,Android App,Offline,2019-08-28,2020-11-26,2020-05-17,2020-11-26,1.0,2,495.69,234.98,"[ERKEK, KADIN]",3.0,730.67,1016,1,730.67,3,3,1,7,Low-Value,Potential Loyalists,"[ERKEK, KADIN]"
