master_id,order_channel,last_order_channel,first_order_date,last_order_date,last_order_date_online,last_order_date_offline,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,interested_in_categories_12_x,total_of_purchases,total_expenditure,Recency,Frequency,MonetaryValue,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments,interested_in_categories_12_y
d45e704c-b13c-11e9-9757-000d3a38a36f,Desktop,Offline,2019-01-10,2020-01-07,2020-06-27,2020-01-07,1,2,330.45,764.94,"[ERKEK, KADIN]",3,1095.39,1340,1,1095.39,1,3,1,5,Low-Value,At Risk Customers,"[ERKEK, KADIN]"
ae557c64-5b29-11ea-b304-000d3a38a36f,Android App,Android App,2020-01-23,2020-05-06,2020-05-06,2020-01-30,1,2,119.98,597.95,"[ERKEK, COCUK, KADIN, AKTIFSPOR]",3,717.9300000000001,1220,1,717.9300000000001,1,3,1,5,Low-Value,At Risk Customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
c88819fa-d0fb-11ea-8b59-000d3a38a36f,Mobile,Mobile,2020-07-28,2020-04-08,2020-04-08,2020-07-28,1,1,79.99,279.98,"[AKTIFCOCUK, ERKEK, COCUK]",2,359.97,1248,1,359.97,1,3,1,5,Low-Value,At Risk Customers,"[AKTIFCOCUK, ERKEK, COCUK]"
7aff7b54-abc4-11e9-a2fc-000d3a38a36f,Mobile,Offline,2016-01-18,2020-05-07,2018-01-29,2020-05-07,5,2,179.97,470.94,"[ERKEK, KADIN]",7,650.91,1219,1,650.91,1,3,1,5,Low-Value,At Risk Customers,"[ERKEK, KADIN]"
5af055ee-a066-11ea-9d0a-000d3a38a36f,Mobile,Mobile,2020-09-24,2020-04-12,2020-04-12,2020-09-24,1,1,24.99,441.98,"[ERKEK, COCUK, AKTIFSPOR]",2,466.97,1244,1,466.97,1,3,1,5,Low-Value,At Risk Customers,"[ERKEK, COCUK, AKTIFSPOR]"
648b29d6-d720-11e9-93bc-000d3a38a36f,Android App,Android App,2019-09-14,2020-03-06,2020-03-06,2019-09-14,1,1,114.96,131.98,[AKTIFCOCUK],2,246.94,1281,1,246.94,1,3,1,5,Low-Value,At Risk Customers,[AKTIFCOCUK]
5c14aae6-74f7-11ea-bb48-000d3a38a36f,Android App,Offline,2018-10-15,2020-05-10,2019-11-09,2020-05-10,11,2,330.72,1343.96,"[AKTIFCOCUK, COCUK]",13,1674.68,1216,1,1674.68,1,3,1,5,Low-Value,At Risk Customers,"[AKTIFCOCUK, COCUK]"
8586047e-abb2-11e9-a2fc-000d3a38a36f,Android App,Android App,2016-11-14,2020-02-10,2020-02-10,2020-08-22,21,1,80.49,2729.77,[ERKEK],22,2810.2599999999998,1306,1,2810.2599999999998,1,3,1,5,Low-Value,At Risk Customers,[ERKEK]
5f737b40-a577-11e9-a2fc-000d3a38a36f,Android App,Offline,2019-02-07,2020-04-11,2020-10-29,2020-04-11,1,3,345.87,129.99,[ERKEK],4,475.86,1245,1,475.86,1,3,1,5,Low-Value,At Risk Customers,[ERKEK]
0d5f9110-2982-11ea-b87a-000d3a38a36f,Android App,Offline,2019-01-08,2020-04-11,2020-01-07,2020-04-11,1,2,210.73,479.89,"[ERKEK, AKTIFSPOR]",3,690.62,1245,1,690.62,1,3,1,5,Low-Value,At Risk Customers,"[ERKEK, AKTIFSPOR]"
